gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
ALS2CL	87.9168	ALS2CL	399.5805
removed	removed	ALS2CR11	8.9145
ALS2CR4	647.0333	ALS2CR4	1539.591
ALS2CR8	115.6345	ALS2CR8	322.4961
ALS2	807.2759	ALS2	888.8306
ALX3	18.6228	ALX3	41.4263
ALX4	12.5595	ALX4	159.9371
AMACR	1415.3313	AMACR	367.0687
removed	removed	AMBP	19.4022
AMBRA1	905.5868	AMBRA1	1154.1689
AMD1	2508.8783	AMD1	2222.365
AMDHD1	6.0632	AMDHD1	11.0121
AMDHD2	206.4617	AMDHD2	181.4525
AMFR	2794.7163	AMFR	3243.3141
AMH	7.3625	AMH	10.4877
AMICA1	222.1741	AMICA1	126.9009
AMIGO1	51.5375	AMIGO1	182.4856
AMIGO2	1184.0494	AMIGO2	3973.2564
AMIGO3	83.586	AMIGO3	70.2674
AMMECR1L	1122.1308	AMMECR1L	967.4882
AMMECR1	956.6912	AMMECR1	313.5815
AMN1	75.7904	AMN1	205.0341
AMOTL1	2218.7094	AMOTL1	3671.7357
AMOTL2	1363.7939	AMOTL2	4056.6335
AMOT	1490.2555	AMOT	1307.8133
AMPD1	7.3625	AMPD1	39.3288
AMPD2	959.2897	AMPD2	729.9423
AMPD3	247.7263	AMPD3	218.6681
AMPH	132.0918	AMPH	177.2417
AMT	14.2919	AMT	322.7583
AMY1A	29.0169	AMY1A	8.9145
AMY2B	26.401	AMY2B	356.2769
AMZ1	15.1581	AMZ1	23.5973
AMZ2P1	87.9168	AMZ2P1	189.3026
AMZ2	829.7964	AMZ2	942.8422
ANAPC10	103.508	ANAPC10	123.2302
ANAPC11	718.9259	ANAPC11	506.5548
ANAPC13	946.5223	ANAPC13	959.376
ANAPC16	1758.77	ANAPC16	1934.452
ANAPC1	1107.4058	ANAPC1	963.8175
ANAPC2	589.4327	ANAPC2	858.9407
ANAPC4	381.9835	ANAPC4	674.882
ANAPC5	1487.2239	ANAPC5	2104.8768
ANAPC7	823.3001	ANAPC7	812.795
ANGEL1	572.1091	ANGEL1	786.5758
ANGEL2	600.6929	ANGEL2	765.076
ANGPT1	72.7588	ANGPT1	309.3865
ANGPT2	443.482	ANGPT2	262.7163
ANGPT4	5.1971	ANGPT4	11.5364
ANGPTL1	52.4036	ANGPTL1	214.9974
ANGPTL2	3021.6544	ANGPTL2	4086.5233
ANGPTL4	227.8042	ANGPTL4	478.2381
removed	removed	ANGPTL7	165.1809
ANG	147.8952	ANG	376.4185
ANK1	11.6934	ANK1	16.7803
ANK2	547.4231	ANK2	706.345
ANK3	1165.0065	ANK3	1384.3734
ANKAR	20.3551	ANKAR	60.3041
ANKDD1A	68.861	ANKDD1A	121.6571
removed	removed	ANKFN1	74.4625
ANKFY1	2646.1672	ANKFY1	2715.2596
ANKHD1-EIF4EBP3	1059.6232	ANKHD1-EIF4EBP3	498.5317
ANKHD1	2066.4747	ANKHD1	3924.1741
ANKH	2909.0515	ANKH	2357.6298
ANKIB1	1210.9138	ANKIB1	1532.2496
removed	removed	ANKK1	37.7556
ANKLE1	5.1971	ANKLE1	10.4877
ANKLE2	1004.3309	ANKLE2	1543.7861
ANKMY1	149.8484	ANKMY1	285.2648
ANKMY2	263.3175	ANKMY2	694.2842
ANKRA2	121.6977	ANKRA2	372.3125
ANKRD10	1174.7466	ANKRD10	1687.6193
ANKRD11	2712.5119	ANKRD11	3201.3739
ANKRD12	2049.372	ANKRD12	1998.9512
ANKRD13A	890.4288	ANKRD13A	1179.8637
ANKRD13B	103.508	ANKRD13B	146.3031
ANKRD13C	581.204	ANKRD13C	566.8589
ANKRD13D	407.9688	ANKRD13D	447.8238
ANKRD16	121.1347	ANKRD16	190.5821
ANKRD17	4835.8597	ANKRD17	3891.4525
ANKRD19	37.6786	ANKRD19	32.5118
ANKRD1	16.8904	removed	removed
removed	removed	ANKRD20A3	35.1337
removed	removed	ANKRD20B	15.7315
ANKRD22	27.7176	ANKRD22	48.7677
ANKRD23	21.2213	ANKRD23	59.2554
ANKRD24	6.0632	ANKRD24	46.1458
ANKRD26	284.9718	ANKRD26	415.8364
ANKRD27	639.6709	ANKRD27	858.4164
ANKRD28	902.5552	ANKRD28	1354.4835
ANKRD29	78.822	ANKRD29	334.0325
ANKRD30A	288.4366	ANKRD30A	2613.0047
ANKRD30B	7.3625	ANKRD30B	149.4494
removed	removed	ANKRD31	5.2438
ANKRD32	145.9506	ANKRD32	176.7174
ANKRD34A	29.0169	ANKRD34A	30.4143
ANKRD35	55.0022	ANKRD35	146.8275
ANKRD36BP1	197.9212	ANKRD36BP1	186.1563
ANKRD36B	15.1581	ANKRD36B	106.4499
ANKRD36	96.5786	ANKRD36	394.3367
ANKRD37	114.2529	ANKRD37	121.1274
ANKRD39	136.4227	ANKRD39	100.6817
ANKRD40	868.3413	ANKRD40	1927.1106
ANKRD42	195.7557	ANKRD42	298.3744
ANKRD43	9.0948	ANKRD43	21.4997
ANKRD44	159.3764	ANKRD44	139.4861
ANKRD45	16.8904	ANKRD45	20.451
ANKRD46	406.6479	ANKRD46	543.7861
