gene_id	TCGA-E9-A1NA-01A-11R-A144-07	gene_id	TCGA-E9-A1NA-11A-33R-A144-07
ANKRD37	57.3253	ANKRD37	70.1218
ANKRD39	354.6691	ANKRD39	120.0729
ANKRD40	3071.7378	ANKRD40	2910.1371
ANKRD42	330.8596	ANKRD42	215.2105
ANKRD43	6.4935	ANKRD43	53.3231
ANKRD44	76.376	ANKRD44	118.1548
removed	removed	ANKRD45	6.9052
ANKRD46	380.0557	ANKRD46	515.7418
ANKRD49	178.726	ANKRD49	235.926
ANKRD50	2883.7353	ANKRD50	976.6951
ANKRD52	2583.7972	ANKRD52	1576.6759
ANKRD53	5.5659	ANKRD53	117.3876
ANKRD54	269.3259	ANKRD54	331.8308
ANKRD56	136.3636	ANKRD56	63.6808
ANKRD57	258.1942	ANKRD57	602.2825
ANKRD58	53.1849	ANKRD58	13.4267
