gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
ANKS3	241.1188	ANKS3	60.6705
ANKS6	141.4564	ANKS6	435.127
ANKZF1	416.3318	ANKZF1	228.7702
ANLN	288.0566	ANLN	13.5253
ANO10	664.8449	ANO10	1451.8404
ANO1	1984.5684	ANO1	734.615
ANO2	12.2167	ANO2	139.5034
removed	removed	ANO3	574.244
removed	removed	ANO4	21.254
ANO5	153.673	ANO5	209.0619
ANO6	2596.0457	ANO6	14087.9142
ANO7	16.3961	removed	removed
ANO8	168.1402	ANO8	151.8694
ANO9	212.506	ANO9	5.0237
ANP32A	2322.4562	ANP32A	2226.2583
ANP32B	2075.2291	ANP32B	2619.6503
ANP32E	906.6067	ANP32E	1200.6569
ANPEP	15569.5226	ANPEP	694.8121
ANTXR1	15653.1104	ANTXR1	3322.964
ANTXR2	1168.9439	ANTXR2	6387.0157
ANUBL1	389.005	ANUBL1	173.5098
ANXA11	2778.3315	ANXA11	5915.5637
ANXA13	7.0728	removed	removed
ANXA1	3264.7484	ANXA1	26219.6889
ANXA2P1	105.4493	ANXA2P1	175.0556
ANXA2P2	5928.6288	ANXA2P2	9401.6037
ANXA2P3	5.7869	ANXA2P3	7.7287
ANXA2	16654.8786	ANXA2	27945.5125
ANXA3	239.5113	ANXA3	971.1139
ANXA4	1915.7692	ANXA4	1410.8782
ANXA5	8820.1254	ANXA5	25848.7103
ANXA6	6292.5575	ANXA6	11430.0068
ANXA7	4035.6856	ANXA7	5123.7562
ANXA8L2	77.4795	ANXA8L2	32.4606
ANXA8	202.5398	ANXA8	98.1548
ANXA9	746.1823	ANXA9	22.7997
AOAH	82.3019	AOAH	103.9513
AOC2	14.7886	AOC2	196.3095
AOC3	728.5002	AOC3	39783.5958
AOX1	153.9945	AOX1	3471.3554
AP1AR	790.5481	AP1AR	425.0797
AP1B1	1597.8139	AP1B1	1560.0425
AP1G1	2669.0243	AP1G1	2819.4377
AP1G2	1703.6393	AP1G2	158.3229
AP1M1	970.262	AP1M1	1407.0138
AP1M2	1414.8851	AP1M2	64.9213
AP1S1	658.415	AP1S1	248.092
AP1S2	438.5147	AP1S2	884.9387
AP1S3	139.5274	AP1S3	23.1862
AP2A1	1991.6155	AP2A1	1312.48
AP2A2	1344.7999	AP2A2	1959.6174
AP2B1	13956.5986	AP2B1	6672.2056
AP2M1	5621.6042	AP2M1	5944.16
AP2S1	1659.8618	AP2S1	739.2522
AP3B1	1947.9183	AP3B1	1926.7704
AP3B2	44.3659	removed	removed
AP3D1	1521.9418	AP3D1	1833.6393
AP3M1	1882.334	AP3M1	2225.099
AP3M2	698.923	AP3M2	487.2959
AP3S1	1160.9066	AP3S1	2064.728
AP3S2	2651.5416	AP3S2	3426.7452
AP4B1	381.3181	AP4B1	362.8828
AP4E1	403.7936	AP4E1	477.2486
AP4M1	381.4821	AP4M1	225.1261
AP4S1	102.2344	AP4S1	104.7242
APAF1	555.5377	APAF1	476.4757
APBA1	93.5541	APBA1	238.0446
APBA2	56.2611	removed	removed
APBA3	132.7761	APBA3	75.7415
APBB1IP	343.6747	APBB1IP	1261.7138
APBB1	287.4136	APBB1	418.1239
APBB2	4764.8288	APBB2	5959.231
APBB3	229.5451	APBB3	128.6832
APCDD1L	45.0088	APCDD1L	8.1152
APCDD1	283.5557	APCDD1	3470.1961
APC	1359.5885	APC	1908.6079
APEH	2218.6144	APEH	770.94
APEX1	3308.4713	APEX1	1927.9297
APEX2	582.543	APEX2	276.6882
APH1A	3842.1476	APH1A	2685.7308
APH1B	586.7224	APH1B	658.4871
API5	2763.5428	API5	2733.6489
APIP	406.7481	APIP	902.7456
APITD1	226.5681	APITD1	108.2871
APLF	48.5452	APLF	156.8931
APLNR	468.0919	APLNR	1867.2592
APLN	49.1882	APLN	26.6641
APLP1	34.7211	APLP1	12.366
APLP2	18142.7423	APLP2	18454.6421
APOA1BP	1561.8068	APOA1BP	952.565
APOB48R	123.1313	APOB48R	16.6168
APOBEC3A	12.5382	removed	removed
APOBEC3B	88.0887	APOBEC3B	5.7965
APOBEC3C	186.1437	APOBEC3C	187.0351
APOBEC3D	85.8383	APOBEC3D	40.1894
APOBEC3F	137.9199	APOBEC3F	69.1721
APOBEC3G	194.5025	APOBEC3G	90.0396
APOBEC3H	5.7869	removed	removed
removed	removed	APOB	2614.6266
APOC1	1384.0219	APOC1	143.7542
APOC2	115.737	removed	removed
APOD	1055.1358	APOD	26389.3344
APOE	2535.2837	APOE	150.7101
APOF	12.8597	removed	removed
APOL1	1015.2709	APOL1	917.3993
APOL2	537.2127	APOL2	493.8653
APOL3	402.8291	APOL3	1489.3247
APOL4	74.2646	APOL4	193.9909
APOL6	1535.4445	APOL6	12859.8203
APOLD1	432.4064	APOLD1	3828.8088
APOM	52.7761	APOM	45.5995
APOOL	285.1632	APOOL	384.5039
APOO	249.1561	APOO	120.9545
APPBP2	2218.6144	APPBP2	2400.541
APPL1	2291.9145	APPL1	2179.8821
APPL2	1404.2758	APPL2	1371.4617
APP	30951.937	APP	12221.4279
APRT	790.8696	APRT	475.3164
APTX	815.946	APTX	409.2358
AQP11	37.293	AQP11	48.3045
AQP1	1881.0481	AQP1	17411.5776
AQP3	504.099	AQP3	120.9545
AQP4	7.3943	AQP4	11.5931
removed	removed	AQP7P1	864.4575
removed	removed	AQP7P3	112.0665
removed	removed	AQP7	5815.8632
AQP9	10.2877	AQP9	38.6436
removed	removed	AQPEP	923.7909
AQR	1600.7073	AQR	1350.2077
ARAF	852.2746	ARAF	1156.6032
ARAP1	1246.6967	ARAP1	1192.2288
ARAP2	355.8913	ARAP2	229.1566
ARAP3	201.5753	ARAP3	818.4716
ARCN1	5299.791	ARCN1	7172.2539
ARC	5.1439	ARC	8.5016
AREG	386.1116	AREG	41.3487
ARF1	8549.7508	ARF1	6420.2493
ARF3	7815.1423	ARF3	3568.3509
ARF4	6808.8732	ARF4	6263.7426
ARF5	1904.5041	ARF5	1190.9613
ARF6	4843.9158	ARF6	2285.7695
ARFGAP1	904.3562	ARFGAP1	332.7215
ARFGAP2	1371.8052	ARFGAP2	1336.296
ARFGAP3	785.0828	ARFGAP3	1120.2782
ARFGEF1	3364.4752	ARFGEF1	1988.2137
ARFGEF2	3017.5213	ARFGEF2	2233.6006
ARFIP1	1550.2331	ARFIP1	1103.275
ARFIP2	2113.8081	ARFIP2	535.9869
ARFRP1	290.307	ARFRP1	206.3569
ARG2	164.1601	ARG2	549.6512
ARGLU1	2769.0082	ARGLU1	2245.1937
ARHGAP10	296.7369	ARHGAP10	1559.2696
ARHGAP11A	186.4652	ARHGAP11A	100.0869
ARHGAP11B	16.3961	ARHGAP11B	6.5694
ARHGAP12	1876.5472	ARHGAP12	1127.6205
ARHGAP15	106.4138	ARHGAP15	90.426
ARHGAP17	980.5498	ARHGAP17	1390.7835
ARHGAP18	834.271	ARHGAP18	968.0224
ARHGAP19	454.5893	ARHGAP19	411.9409
ARHGAP1	5017.1998	ARHGAP1	3686.2139
ARHGAP20	97.0905	ARHGAP20	956.4293
ARHGAP21	1932.8082	ARHGAP21	9175.925
ARHGAP22	36.0071	ARHGAP22	12.7524
ARHGAP23	432.0849	ARHGAP23	509.7092
ARHGAP24	260.7298	ARHGAP24	796.8312
ARHGAP25	244.3337	ARHGAP25	345.0874
ARHGAP26	220.8648	ARHGAP26	934.4025
ARHGAP27	486.9989	ARHGAP27	219.8821
ARHGAP28	708.2463	ARHGAP28	492.3196
ARHGAP29	2420.8327	ARHGAP29	5714.2305
ARHGAP30	289.9855	ARHGAP30	316.8776
ARHGAP31	848.0952	ARHGAP31	3199.6909
ARHGAP32	2622.7295	ARHGAP32	724.9541
ARHGAP33	238.8683	ARHGAP33	28.2098
ARHGAP36	120.5594	ARHGAP36	11.2066
ARHGAP39	224.4012	ARHGAP39	28.5963
ARHGAP42	281.257	ARHGAP42	592.7736
ARHGAP4	146.6002	ARHGAP4	103.1784
ARHGAP5	2495.0973	ARHGAP5	3275.8188
ARHGAP6	115.094	ARHGAP6	270.5053
ARHGAP8	370.1624	ARHGAP8	68.4919
ARHGAP9	121.8454	ARHGAP9	54.1011
ARHGDIA	4732.0367	ARHGDIA	2541.5902
ARHGDIB	5178.9101	ARHGDIB	2621.9689
removed	removed	ARHGDIG	73.7977
ARHGEF10L	605.6904	ARHGEF10L	376.3888
ARHGEF10	853.239	ARHGEF10	1610.2792
ARHGEF11	1215.2387	ARHGEF11	1408.946
ARHGEF12	7076.0328	ARHGEF12	6082.1177
ARHGEF15	162.9963	ARHGEF15	1641.967
ARHGEF16	267.4811	ARHGEF16	90.426
ARHGEF17	1141.9386	ARHGEF17	1288.3779
ARHGEF18	758.399	ARHGEF18	399.9614
ARHGEF19	437.5502	ARHGEF19	79.6058
ARHGEF1	1158.9777	ARHGEF1	434.7406
ARHGEF2	725.9283	ARHGEF2	1876.9201
ARHGEF33	9.9662	ARHGEF33	16.2303
ARHGEF35	286.7706	ARHGEF35	115.158
ARHGEF37	1072.1749	ARHGEF37	538.6919
ARHGEF38	62.3694	ARHGEF38	6.5694
ARHGEF3	1396.2385	ARHGEF3	543.3291
ARHGEF4	57.547	ARHGEF4	549.1257
ARHGEF5	511.1718	ARHGEF5	200.5603
ARHGEF6	708.2463	ARHGEF6	10866.1965
ARHGEF7	1422.2794	ARHGEF7	3312.5302
ARHGEF9	690.5642	ARHGEF9	638.006
ARID1A	3407.1693	ARID1A	1991.3052
ARID1B	1697.7978	ARID1B	1879.2387
ARID2	1397.203	ARID2	914.6942
ARID3A	32.1492	ARID3A	54.8739
ARID3B	104.8063	ARID3B	79.6058
ARID4A	858.3829	ARID4A	1018.6455
ARID4B	1905.0249	ARID4B	1061.1535
ARID5A	367.1435	ARID5A	135.6391
ARID5B	2111.2361	ARID5B	8307.9896
ARIH1	2005.4654	ARIH1	2845.329
ARIH2	1304.2919	ARIH2	1517.1481
ARL10	30.5417	ARL10	31.3013
ARL11	73.3001	ARL11	22.4133
ARL13B	389.005	ARL13B	300.2608
ARL15	760.0064	ARL15	457.5403
ARL16	352.9979	ARL16	280.1662
ARL17A	256.4765	ARL17A	93.703
ARL17B	11.773	ARL17B	6.1637
ARL1	3142.2601	ARL1	3161.4337
ARL2BP	1728.3395	ARL2BP	2774.6111
ARL2	647.1628	ARL2	1137.2814
ARL3	920.7523	ARL3	419.2832
ARL4A	364.2501	ARL4A	528.2581
ARL4C	1257.0326	ARL4C	580.8134
ARL4D	201.8968	ARL4D	100.8598
ARL5A	1094.3578	ARL5A	1785.7212
ARL5B	335.9588	ARL5B	280.939
ARL6IP1	8074.9076	ARL6IP1	7244.5174
ARL6IP4	810.4806	ARL6IP4	571.1525
ARL6IP5	4659.3795	ARL6IP5	8905.0333
ARL6IP6	280.9838	ARL6IP6	284.8034
ARL6	78.444	ARL6	80.3787
ARL8A	920.1093	ARL8A	926.2873
ARL8B	3299.148	ARL8B	3026.181
ARMC10	873.1265	ARMC10	844.6836
ARMC1	985.0506	ARMC1	935.5618
ARMC2	58.833	ARMC2	78.0601
ARMC3	39.865	removed	removed
ARMC5	162.6748	ARMC5	70.3314
ARMC6	552.3228	ARMC6	193.6045
ARMC7	501.5271	ARMC7	144.5271
ARMC8	822.3758	ARMC8	1216.1144
ARMC9	524.0315	ARMC9	49.4638
ARMCX1	627.2303	ARMCX1	935.9482
ARMCX2	869.3136	ARMCX2	461.7911
ARMCX3	1725.7676	ARMCX3	2649.7923
ARMCX5	398.3282	ARMCX5	235.726
ARMCX6	223.1153	ARMCX6	162.6896
removed	removed	ARMS2	7.3423
ARNT2	391.2554	ARNT2	50.2367
ARNTL2	40.508	ARNTL2	66.0806
ARNTL	253.657	ARNTL	180.4657
ARNT	1600.3858	ARNT	2541.5902
ARPC1A	1714.3868	ARPC1A	2361.6965
ARPC1B	1233.3708	ARPC1B	664.4846
ARPC2	4325.0281	ARPC2	4607.864
ARPC3	4817.232	ARPC3	3388.6581
ARPC4	2757.0712	ARPC4	2226.9269
ARPC5L	626.9089	ARPC5L	387.9818
ARPC5	3477.576	ARPC5	2890.542
ARPM1	36.0071	ARPM1	95.4497
ARPP19	5504.2598	ARPP19	10774.2247
removed	removed	ARPP21	18.5489
ARRB1	439.1577	ARRB1	1170.9014
ARRB2	500.5626	ARRB2	570.7661
ARRDC1	858.7044	ARRDC1	147.6186
ARRDC2	340.1382	ARRDC2	384.5039
ARRDC3	1916.7336	ARRDC3	2462.3708
ARRDC4	886.9957	ARRDC4	906.1926
ARSA	432.0849	ARSA	493.8653
ARSB	756.1485	ARSB	469.1334
ARSD	3827.3589	ARSD	1241.2327
ARSE	88.4102	ARSE	5.0237
ARSG	632.0527	ARSG	141.822
ARSH	5.4654	removed	removed
ARSI	174.8915	removed	removed
ARSJ	117.023	ARSJ	22.7997
ARSK	200.2893	ARSK	187.8079
removed	removed	ART4	18.5489
ARTN	26.3623	removed	removed
ARV1	491.2394	ARV1	396.097
ARVCF	198.3604	ARVCF	44.8266
ARX	51.7602	removed	removed
AR	1378.878	AR	549.5121
AS3MT	218.6144	AS3MT	340.8366
ASAH1	10009.6448	ASAH1	19590.3777
ASAH2B	20.897	removed	removed
ASAH2	8.6803	removed	removed
ASAM	444.3016	ASAM	5333.9774
ASAP1	1590.0981	ASAP1	1764.0808
ASAP2	969.9405	ASAP2	1823.5919
ASAP3	632.0527	ASAP3	674.331
ASB13	1290.1463	ASB13	314.1725
ASB14	13.1812	ASB14	11.5969
ASB16	8.9343	removed	removed
ASB1	213.7598	ASB1	861.4665
ASB2	37.293	ASB2	9.6609
ASB3	313.7759	ASB3	321.9013
ASB6	580.1254	ASB6	304.0247
ASB7	647.8058	ASB7	521.6887
ASB8	1125.221	ASB8	1033.3301
ASB9	15.1101	ASB9	91.5854
ASCC1	690.2427	ASCC1	711.8153
ASCC2	826.8767	ASCC2	1227.321
ASCC3	886.9957	ASCC3	914.6942
ASCL2	15.1101	ASCL2	6.9558
ASF1A	382.2537	ASF1A	454.0624
ASF1B	194.5025	ASF1B	17.7761
removed	removed	ASGR2	10.0473
ASH1L	2896.9523	ASH1L	4575.3763
ASH2L	1242.5655	ASH2L	1742.0539
ASL	338.8523	ASL	209.4484
ASMTL	348.497	ASMTL	358.9759
ASNA1	1259.9261	ASNA1	688.6291
ASNSD1	1157.0487	ASNSD1	1456.0912
ASNS	381.9322	ASNS	214.8585
ASPA	5.4654	ASPA	364.0228
ASPHD1	23.1474	removed	removed
ASPHD2	66.2273	ASPHD2	17.0032
ASPH	5993.5252	ASPH	43618.7731
ASPM	193.538	removed	removed
ASPN	22489.3104	ASPN	1581.6829
ASPRV1	32.5221	ASPRV1	89.429
ASPSCR1	333.7084	ASPSCR1	126.751
ASRGL1	45.0088	ASRGL1	96.9955
ASS1	172.6411	ASS1	4004.2508
ASTE1	273.9399	ASTE1	213.4287
ASTN1	23.7904	ASTN1	26.6641
ASTN2	695.7081	ASTN2	87.721
ASXL1	1338.37	ASXL1	1575.8864
ASXL2	607.2979	ASXL2	1202.5891
ASXL3	7.0728	ASXL3	39.8029
ATAD1	1589.1336	ATAD1	1782.2433
ATAD2B	513.1008	ATAD2B	362.0906
ATAD2	1059.6367	ATAD2	350.884
ATAD3A	185.5007	ATAD3A	88.8803
ATAD3B	104.8063	ATAD3B	34.3928
ATAD3C	6.1083	ATAD3C	25.1183
ATAD5	183.8933	ATAD5	27.0505
ATE1	284.8417	ATE1	410.0087
ATF1	525.9605	ATF1	559.5595
ATF2	600.5465	ATF2	800.3091
ATF3	1196.9137	ATF3	949.8599
ATF4	3384.6648	ATF4	5829.002
ATF5	863.5268	ATF5	379.4802
ATF6B	2049.1882	ATF6B	765.2942
ATF6	1903.231	ATF6	1760.6028
ATF7IP2	196.11	ATF7IP2	147.6186
ATF7IP	1259.2831	ATF7IP	1940.6821
ATF7	2105.7193	ATF7	3183.9977
ATG10	113.4866	ATG10	186.2622
ATG12	612.7632	ATG12	945.2227
ATG16L1	1001.7682	ATG16L1	476.0893
ATG16L2	285.7258	ATG16L2	116.58
ATG2A	439.8007	ATG2A	377.5481
ATG2B	1264.4269	ATG2B	1409.3324
ATG3	859.9904	ATG3	852.478
ATG4A	432.7279	ATG4A	505.072
ATG4B	504.099	ATG4B	411.168
ATG4C	344.3176	ATG4C	408.0765
ATG4D	178.1482	ATG4D	101.7873
ATG5	667.4168	ATG5	1152.7389
ATG7	769.6608	ATG7	769.487
ATG9A	914.7758	ATG9A	1722.8442
ATG9B	12.7761	removed	removed
ATHL1	240.1543	ATHL1	127.9103
ATIC	2212.506	ATIC	1613.3707
ATL1	514.3868	ATL1	224.5194
ATL2	1113.6473	ATL2	940.5855
ATL3	437.5502	ATL3	1544.5851
ATMIN	1705.1921	ATMIN	3191.1893
ATM	1628.6771	ATM	1754.8063
ATN1	3000.1607	ATN1	4952.565
ATOH8	12.8597	ATOH8	1325.8622
ATOX1	713.7116	ATOX1	648.4398
ATP10A	436.2643	ATP10A	219.4957
ATP10D	786.0473	ATP10D	527.0988
ATP11A	428.5485	ATP11A	780.2145
ATP11B	1563.0928	ATP11B	2429.1373
ATP11C	481.9161	ATP11C	1328.5673
ATP13A1	1418.743	ATP13A1	402.28
ATP13A2	2238.5469	ATP13A2	413.4866
ATP13A3	2446.552	ATP13A3	5270.2154
ATP13A4	12.5382	ATP13A4	19.3218
removed	removed	ATP13A5	28.2098
ATP1A1	8461.331	ATP1A1	4620.6048
ATP1A2	451.0529	ATP1A2	3793.2567
ATP1A3	27.3268	removed	removed
ATP1A4	65.2628	ATP1A4	6.9558
ATP1B1	2555.2162	ATP1B1	638.5741
ATP1B2	33.4351	ATP1B2	127.1375
ATP1B3	1852.1138	ATP1B3	1683.7021
ATP2A2	5478.5404	ATP2A2	5849.4831
ATP2A3	259.4438	ATP2A3	291.3728
ATP2B1	1322.9384	ATP2B1	915.8535
removed	removed	ATP2B2	5.0237
ATP2B4	2634.6247	ATP2B4	16609.0233
ATP2C1	3613.2165	ATP2C1	3586.011
ATP2C2	121.8454	removed	removed
ATP5A1	7355.4091	ATP5A1	10349.9179
ATP5B	9103.6811	ATP5B	12195.5367
ATP5C1	3211.3808	ATP5C1	3013.8151
ATP5D	193.538	ATP5D	211.3805
ATP5EP2	46.9378	ATP5EP2	58.7383
ATP5E	3459.8939	ATP5E	4877.5964
ATP5F1	3471.7891	ATP5F1	2616.9452
ATP5G1	1105.9315	ATP5G1	471.0656
ATP5G2	4525.639	ATP5G2	3027.3404
ATP5G3	2009.9662	ATP5G3	3710.5594
ATP5H	3158.3347	ATP5H	2531.5428
ATP5I	1237.1837	ATP5I	989.6628
ATP5J2	1196.2707	ATP5J2	930.5381
ATP5J	1393.0719	ATP5J	2621.0028
ATP5L	1928.6288	ATP5L	2868.1287
ATP5O	2287.7351	ATP5O	3966.3801
ATP5SL	951.294	ATP5SL	516.6651
ATP5S	174.57	ATP5S	221.8143
ATP6AP1L	100.3054	ATP6AP1L	94.6768
ATP6AP1	4288.6996	ATP6AP1	1925.9975
ATP6AP2	6847.1307	ATP6AP2	5378.804
ATP6V0A1	1841.5046	ATP6V0A1	1636.1704
ATP6V0A2	738.4665	ATP6V0A2	670.4666
ATP6V0A4	27.9698	removed	removed
ATP6V0B	1549.5901	ATP6V0B	692.4935
ATP6V0C	2055.2966	ATP6V0C	1325.4758
ATP6V0D1	1255.1037	ATP6V0D1	1388.8513
ATP6V0D2	44.3659	removed	removed
ATP6V0E1	3413.5991	ATP6V0E1	4375.2294
ATP6V0E2	973.1426	ATP6V0E2	650.6618
ATP6V1A	2874.4575	ATP6V1A	2552.7968
ATP6V1B1	14.1456	ATP6V1B1	14.6846
ATP6V1B2	2605.6904	ATP6V1B2	2716.2593
ATP6V1C1	1994.5346	ATP6V1C1	2231.6684
ATP6V1C2	34.2453	ATP6V1C2	66.8728
ATP6V1D	1558.2704	ATP6V1D	1432.1322
ATP6V1E1	2943.8997	ATP6V1E1	3370.1092
ATP6V1E2	49.8312	ATP6V1E2	62.2162
ATP6V1F	1424.2051	ATP6V1F	1262.479
ATP6V1G1	3731.5544	ATP6V1G1	1058.8349
ATP6V1G2	99.6624	ATP6V1G2	30.5285
ATP6V1H	1642.5012	ATP6V1H	1233.504
ATP7A	1054.4928	ATP7A	789.8754
ATP7B	757.756	ATP7B	336.1994
ATP8A1	174.57	ATP8A1	663.8972
ATP8A2	22.8259	ATP8A2	14.6846
ATP8B1	1763.2728	ATP8B1	504.6855
ATP8B2	903.3917	ATP8B2	603.6132
ATP8B3	24.7549	ATP8B3	16.2303
ATP8B4	128.9182	ATP8B4	693.2664
ATP8B5P	34.7211	ATP8B5P	52.5553
ATP9A	2426.6195	ATP9A	14960.8733
ATP9B	372.6089	ATP9B	541.7834
ATPAF1	1492.1974	ATPAF1	2808.5712
ATPAF2	290.95	ATPAF2	169.6454
ATPBD4	181.3213	ATPBD4	146.0728
ATPIF1	1337.4056	ATPIF1	447.1066
ATRIP	398.9905	ATRIP	185.6555
ATRNL1	556.8237	ATRNL1	12.366
ATRN	2426.298	ATRN	2192.6384
ATRX	3069.2815	ATRX	3922.3263
ATR	979.5853	ATR	780.2145
ATXN10	1683.0092	ATXN10	1800.4058
ATXN1L	1042.9191	ATXN1L	3122.8983
ATXN1	2033.1136	ATXN1	1254.758
ATXN2L	2166.2112	ATXN2L	1056.5163
ATXN2	939.7203	ATXN2	1078.1567
ATXN3	570.3263	ATXN3	728.8185
ATXN7L1	201.8968	ATXN7L1	250.4106
ATXN7L2	49.1882	ATXN7L2	14.2981
ATXN7L3B	4867.7062	ATXN7L3B	2354.1687
ATXN7L3	1792.3163	ATXN7L3	663.5108
ATXN7	709.2107	ATXN7	839.3392
AUH	207.3622	AUH	456.7675
AUP1	1661.0095	AUP1	1225.6555
AURKAIP1	642.3405	AURKAIP1	296.01
AURKAPS1	12.2167	AURKAPS1	6.5694
AURKA	208.3266	AURKA	28.2098
AURKB	27.3268	removed	removed
AURKC	12.2167	AURKC	10.0473
AUTS2	838.7719	AUTS2	691.3342
AVEN	199.9679	AVEN	328.4707
AVIL	37.6145	AVIL	18.5489
AVL9	397.6853	AVL9	352.0433
AVPI1	161.0674	AVPI1	683.6054
AVPR1A	30.2202	AVPR1A	203.2654
removed	removed	AVPR2	134.8662
AXIN1	499.5981	AXIN1	204.4247
AXIN2	283.8772	AXIN2	487.6823
AXL	2217.3284	AXL	2625.8333
AZGP1	14415.0458	AZGP1	1967.3462
AZI1	145.3143	AZI1	27.0505
AZI2	1240.3151	AZI2	2500.2415
AZIN1	4958.6883	AZIN1	6368.0804
B2M	41761.1317	B2M	65361.4144
B3GALNT1	746.5038	B3GALNT1	247.3191
B3GALNT2	562.8838	B3GALNT2	568.5209
B3GALT2	5.1439	B3GALT2	12.366
B3GALT4	138.5629	B3GALT4	116.3173
B3GALT6	425.655	B3GALT6	197.0824
B3GALTL	408.9375	B3GALTL	225.2922
removed	removed	B3GAT1	5.4101
B3GAT2	12.5125	B3GAT2	11.168
B3GAT3	391.5769	B3GAT3	131.3883
B3GNT1	430.1559	B3GNT1	814.2208
B3GNT2	950.008	B3GNT2	815.7666
B3GNT3	5.1439	B3GNT3	7.7287
B3GNT5	146.2787	B3GNT5	376.3888
B3GNT7	77.801	B3GNT7	31.3013
B3GNT8	45.6518	B3GNT8	21.254
B3GNT9	441.3213	B3GNT9	183.4953
B3GNTL1	70.4549	B3GNTL1	34.4856
B4GALNT1	74.4028	B4GALNT1	8.7876
B4GALNT3	177.4634	B4GALNT3	8.888
B4GALNT4	156.888	removed	removed
B4GALT1	6687.0278	B4GALT1	2636.6535
B4GALT2	762.8999	B4GALT2	979.6155
B4GALT3	685.4204	B4GALT3	489.2281
B4GALT4	668.3813	B4GALT4	420.8289
B4GALT5	1214.9172	B4GALT5	2450.3913
B4GALT6	121.8454	B4GALT6	418.5103
B4GALT7	350.1045	B4GALT7	275.9154
B9D1	71.6927	B9D1	33.6199
B9D2	67.1532	B9D2	15.3338
BAALC	65.2628	BAALC	552.99
BACE1	1447.9987	BACE1	1903.5842
BACE2	640.4115	BACE2	777.123
BACH1	1168.6224	BACH1	934.016
BACH2	183.2503	BACH2	156.8931
BAD	561.511	BAD	404.7918
BAG1	1411.9916	BAG1	1410.4917
BAG2	259.7653	BAG2	177.3742
BAG3	3262.498	BAG3	1697.6138
BAG4	316.3479	BAG4	590.8608
BAG5	1456.3575	BAG5	2213.5059
BAGE2	6.8574	BAGE2	10.2637
BAHCC1	346.8896	BAHCC1	180.4657
BAHD1	358.1418	BAHD1	447.8794
BAI1	8.3588	removed	removed
BAI2	518.2447	BAI2	73.4229
removed	removed	BAI3	27.0505
BAIAP2L1	291.593	BAIAP2L1	173.1234
removed	removed	BAIAP2L2	6.183
BAIAP2	1423.5557	BAIAP2	203.2267
BAIAP3	46.7127	BAIAP3	36.4641
BAK1	409.259	BAK1	167.3268
BAMBI	1402.3469	BAMBI	158.8252
BANF1	1919.3056	BANF1	1057.6756
BANK1	27.3268	BANK1	609.7962
BANP	156.888	BANP	73.8093
BAP1	1374.0556	BAP1	1089.3633
BARD1	125.0603	BARD1	32.0742
BARX2	538.1771	BARX2	17.0032
BASP1	687.3493	BASP1	173.1234
BAT1	4731.0722	BAT1	3926.1907
BAT2L1	3756.7176	BAT2L1	4738.0466
BAT2L2	5846.6484	BAT2L2	4043.6673
BAT2	4136.9555	BAT2	3005.3135
BAT3	2787.9248	BAT3	2792.0008
BAT4	211.5416	BAT4	168.8726
BAT5	1139.3667	BAT5	425.8526
BATF2	53.0461	BATF2	74.5822
BATF3	12.5382	BATF3	8.888
BATF	150.4581	BATF	6.9558
BAX	380.9677	BAX	103.9513
BAZ1A	1528.0502	BAZ1A	704.0866
BAZ1B	2667.4168	BAZ1B	3058.6417
BAZ2A	2763.1217	BAZ2A	2408.8764
BAZ2B	1074.1392	BAZ2B	1140.5661
BBC3	104.4848	BBC3	12.7524
BBOX1	47.2593	BBOX1	15.071
BBS10	748.7542	BBS10	1248.9615
BBS12	277.1259	BBS12	214.8585
BBS1	1234.5282	BBS1	553.3765
BBS2	936.8269	BBS2	1019.4184
BBS4	803.7293	BBS4	447.8794
BBS5	212.4096	BBS5	187.1124
BBS7	340.1382	BBS7	416.5781
BBS9	388.0405	BBS9	459.4725
BBX	2616.6211	BBX	2484.3976
BCAM	4359.7492	BCAM	1132.2578
BCAN	7.7158	removed	removed
BCAP29	1363.1249	BCAP29	3174.5725
BCAP31	3114.6118	BCAP31	9812.7717
BCAR1	443.0156	BCAR1	297.1694
BCAR3	987.9441	BCAR3	873.732
BCAS1	1340.942	BCAS1	7.7287
BCAS2	1010.815	BCAS2	856.5356
BCAS3	785.4043	BCAS3	766.6892
BCAS4	909.1786	BCAS4	670.8531
BCAT1	837.1644	BCAT1	699.4493
BCAT2	985.6936	BCAT2	170.4183
BCCIP	1773.2487	BCCIP	827.2283
BCDIN3D	302.6202	BCDIN3D	134.1899
BCHE	18.6465	BCHE	217.1771
BCKDHA	850.6671	BCKDHA	514.6672
BCKDHB	557.1452	BCKDHB	605.5454
BCKDK	1196.9137	BCKDK	765.1435
BCL10	638.1611	BCL10	418.1239
BCL11A	38.579	BCL11A	15.8439
BCL11B	74.9076	BCL11B	25.8912
BCL2A1	26.3623	BCL2A1	23.959
BCL2L11	827.8412	BCL2L11	631.0501
BCL2L12	202.7295	BCL2L12	47.0331
BCL2L13	1967.8508	BCL2L13	3071.7805
BCL2L14	16.0746	removed	removed
BCL2L1	2337.5663	BCL2L1	2137.7645
BCL2L2	926.433	BCL2L2	3301.2501
BCL2	2088.7317	BCL2	4370.2058
BCL3	714.0331	BCL3	275.9154
BCL6B	274.2324	BCL6B	980.0019
BCL6	933.2905	BCL6	2499.0822
