gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
ALDH1A1	226.2948	ALDH1A1	1739.2724
ALDH1A2	37.1846	ALDH1A2	242.0709
ALDH1A3	386.0044	ALDH1A3	755.4431
ALDH1B1	1347.4989	ALDH1B1	636.6604
ALDH1L1	21.2483	ALDH1L1	1340.0187
ALDH1L2	553.1651	ALDH1L2	451.4925
ALDH2	1369.1014	ALDH2	6529.8507
removed	removed	ALDH3A1	58.3022
ALDH3A2	1406.6401	ALDH3A2	2989.2724
ALDH3B1	310.934	ALDH3B1	114.7388
ALDH3B2	6832.0496	ALDH3B2	2238.806
ALDH4A1	720.6729	ALDH4A1	1966.8843
ALDH5A1	432.0496	ALDH5A1	801.306
ALDH6A1	653.7087	ALDH6A1	1288.5868
ALDH7A1	2903.9398	ALDH7A1	3642.2575
ALDH8A1	7.7911	ALDH8A1	24.2537
ALDH9A1	4302.7888	ALDH9A1	4191.2313
ALDOA	36018.0611	ALDOA	13241.1381
ALDOC	277.645	ALDOC	1084.4216
ALG10B	282.2488	ALG10B	489.2724
ALG10	135.9894	ALG10	162.3134
ALG11	18.0611	ALG11	15.8582
ALG12	516.6888	ALG12	435.1679
ALG13	589.6414	ALG13	434.7015
ALG14	276.5826	ALG14	136.194
ALG1L	49.9548	removed	removed
ALG1	692.2178	ALG1	375.0979
ALG2	966.7995	ALG2	669.7761
ALG3	1065.2501	ALG3	372.6679
ALG5	523.4174	ALG5	378.2649
ALG6	484.8163	ALG6	228.5448
ALG8	2232.8464	ALG8	534.5149
ALG9	837.8929	ALG9	666.0448
ALKBH1	393.4484	ALKBH1	231.8097
ALKBH2	328.641	ALKBH2	238.3396
ALKBH3	308.8092	ALKBH3	305.5037
ALKBH4	343.3413	ALKBH4	221.8377
ALKBH5	2096.1487	ALKBH5	1976.3806
ALKBH6	142.0097	ALKBH6	61.5672
ALKBH7	384.595	ALKBH7	375.9328
ALKBH8	217.0872	ALKBH8	273.7873
removed	removed	ALK	7.9291
ALMS1P	7.4369	ALMS1P	12.1269
ALMS1	804.9579	ALMS1	928.6381
ALOX12P2	34.3515	ALOX12P2	52.2388
removed	removed	ALOX12	6.0634
ALOX15B	1108.4551	ALOX15B	3568.097
ALOX15	10.6242	ALOX15	19.1231
ALOX5AP	390.6153	ALOX5AP	146.9216
ALOX5	396.6357	ALOX5	293.3769
ALOXE3	7.0828	ALOXE3	15.3918
ALPK1	376.0956	ALPK1	819.9627
ALPK2	35.768	removed	removed
ALPK3	183.7981	ALPK3	1002.3321
ALPL	189.4644	ALPL	607.7425
ALS2CL	175.2988	ALS2CL	409.9813
removed	removed	ALS2CR11	9.7948
ALS2CR12	6.0204	ALS2CR12	9.7948
ALS2CR4	460.0266	ALS2CR4	1967.3507
ALS2CR8	84.9934	ALS2CR8	363.806
ALS2	446.5693	ALS2	809.2351
ALX3	12.3949	ALX3	49.9067
removed	removed	ALX4	97.4813
AMACR	668.2603	AMACR	342.8172
AMBP	16.6445	AMBP	6.9963
AMBRA1	875.7857	AMBRA1	1334.4216
AMD1	1716.1576	AMD1	1325.0933
removed	removed	AMDHD1	39.1791
AMDHD2	205.05	AMDHD2	186.9963
AMFR	2316.0691	AMFR	2614.7388
AMH	24.7897	AMH	7.4627
AMICA1	61.266	AMICA1	272.3881
AMIGO1	40.3718	AMIGO1	161.847
AMIGO2	536.8747	AMIGO2	2835.3545
AMIGO3	76.8482	AMIGO3	55.5037
AMMECR1L	765.6485	AMMECR1L	928.6381
AMMECR1	651.6158	AMMECR1	255.1306
AMN1	244.0018	AMN1	168.8433
AMOTL1	807.0828	AMOTL1	4250.9328
AMOTL2	1295.4405	AMOTL2	2548.041
AMOT	577.2466	AMOT	1301.306
removed	removed	AMPD1	71.3619
AMPD2	575.83	AMPD2	718.75
AMPD3	246.8349	AMPD3	194.0299
AMPH	851.3502	AMPH	418.8433
AMT	57.5511	AMT	282.5326
AMY2B	44.5649	AMY2B	472.0243
AMZ1	31.8725	removed	removed
AMZ2P1	294.6436	AMZ2P1	291.9776
AMZ2	1599.2917	AMZ2	1098.8806
ANAPC10	152.2798	ANAPC10	111.0075
ANAPC11	1144.5772	ANAPC11	564.3657
ANAPC13	1597.6273	ANAPC13	822.2015
ANAPC16	1890.0398	ANAPC16	2285.4478
ANAPC1	420.7171	ANAPC1	894.1231
ANAPC2	535.8123	ANAPC2	768.1903
ANAPC4	509.606	ANAPC4	642.2575
ANAPC5	2535.9894	ANAPC5	2006.9963
